<02:19:36.024>Start FDBS 
<02:19:36.325>FDBS; opened connection to oralv8a 
<02:19:37.569>Received FJDBC: INSERT INTO PASSENGER10K VALUES (1, 'Sanama', 'Juergen', 'GB') 
<02:19:37.600>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (1, 'Sanama', 'Juergen', 'GB') 
<02:19:37.631>Received FJDBC: INSERT INTO PASSENGER10K VALUES (2, 'Lied', 'Pascal', 'TUN') 
<02:19:37.631>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (2, 'Lied', 'Pascal', 'TUN') 
<02:19:37.663>Received FJDBC: INSERT INTO PASSENGER10K VALUES (3, 'Schmitt', 'Daniel', 'ID') 
<02:19:37.663>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (3, 'Schmitt', 'Daniel', 'ID') 
<02:19:37.694>Received FJDBC: INSERT INTO PASSENGER10K VALUES (4, 'Militz', 'Elton', 'USA') 
<02:19:37.694>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (4, 'Militz', 'Elton', 'USA') 
<02:19:37.709>Received FJDBC: INSERT INTO PASSENGER10K VALUES (5, 'Bayer', 'null', 'ID') 
<02:19:37.725>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (5, 'Bayer', 'null', 'ID') 
<02:19:37.741>Received FJDBC: INSERT INTO PASSENGER10K VALUES (6, 'Scholz', 'Sarah', 'CHN') 
<02:19:37.756>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (6, 'Scholz', 'Sarah', 'CHN') 
<02:19:37.788>Received FJDBC: INSERT INTO PASSENGER10K VALUES (7, 'Miosga', 'Annika', 'I') 
<02:19:37.788>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (7, 'Miosga', 'Annika', 'I') 
<02:19:37.819>Received FJDBC: INSERT INTO PASSENGER10K VALUES (8, 'Bayer', 'Christian', 'CHN') 
<02:19:37.819>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (8, 'Bayer', 'Christian', 'CHN') 
<02:19:37.853>Received FJDBC: INSERT INTO PASSENGER10K VALUES (9, 'Kaas', 'Elton', 'GB') 
<02:19:37.853>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (9, 'Kaas', 'Elton', 'GB') 
<02:19:37.884>Received FJDBC: INSERT INTO PASSENGER10K VALUES (10, 'Nguentcheng', 'Florian', 'USA') 
<02:19:37.884>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (10, 'Nguentcheng', 'Florian', 'USA') 
<02:19:37.916>Received FJDBC: INSERT INTO PASSENGER10K VALUES (11, 'Nannini', 'Benedikt', 'F') 
<02:19:37.931>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (11, 'Nannini', 'Benedikt', 'F') 
<02:19:37.962>Received FJDBC: INSERT INTO PASSENGER10K VALUES (12, 'Mercury', 'Christian', 'CHN') 
<02:19:37.962>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (12, 'Mercury', 'Christian', 'CHN') 
<02:19:37.994>Received FJDBC: INSERT INTO PASSENGER10K VALUES (13, 'Saseno', 'Rene', 'CMR') 
<02:19:37.994>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (13, 'Saseno', 'Rene', 'CMR') 
<02:19:38.025>Received FJDBC: INSERT INTO PASSENGER10K VALUES (14, 'Englert', 'Bjoern', 'TUN') 
<02:19:38.025>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (14, 'Englert', 'Bjoern', 'TUN') 
<02:19:38.056>Received FJDBC: INSERT INTO PASSENGER10K VALUES (15, 'Miosga', 'Jan', 'TUN') 
<02:19:38.056>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (15, 'Miosga', 'Jan', 'TUN') 
<02:19:38.087>Received FJDBC: INSERT INTO PASSENGER10K VALUES (16, 'Bush', 'Stefan', 'GB') 
<02:19:38.087>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (16, 'Bush', 'Stefan', 'GB') 
<02:19:38.119>Received FJDBC: INSERT INTO PASSENGER10K VALUES (17, 'Militz', 'Anreas', 'GB') 
<02:19:38.119>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (17, 'Militz', 'Anreas', 'GB') 
<02:19:38.154>Received FJDBC: INSERT INTO PASSENGER10K VALUES (18, 'Mahr', 'Guildo', 'ID') 
<02:19:38.155>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (18, 'Mahr', 'Guildo', 'ID') 
<02:19:38.184>Received FJDBC: INSERT INTO PASSENGER10K VALUES (19, 'Bostanci', 'Gerhard', 'GB') 
<02:19:38.192>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (19, 'Bostanci', 'Gerhard', 'GB') 
<02:19:38.213>Received FJDBC: INSERT INTO PASSENGER10K VALUES (20, 'Harasty', 'Gerhard', 'D') 
<02:19:38.213>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (20, 'Harasty', 'Gerhard', 'D') 
<02:19:38.244>Received FJDBC: INSERT INTO PASSENGER10K VALUES (21, 'Schaefer', 'Ilkem', 'D') 
<02:19:38.244>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (21, 'Schaefer', 'Ilkem', 'D') 
<02:19:38.284>Received FJDBC: INSERT INTO PASSENGER10K VALUES (22, 'Gabriel', 'Martin', 'F') 
<02:19:38.285>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (22, 'Gabriel', 'Martin', 'F') 
<02:19:38.312>Received FJDBC: INSERT INTO PASSENGER10K VALUES (23, 'Heinz', 'Annika', 'CMR') 
<02:19:38.312>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (23, 'Heinz', 'Annika', 'CMR') 
<02:19:38.343>Received FJDBC: INSERT INTO PASSENGER10K VALUES (24, 'Harasty', 'Bob', 'USA') 
<02:19:38.343>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (24, 'Harasty', 'Bob', 'USA') 
<02:19:38.374>Received FJDBC: INSERT INTO PASSENGER10K VALUES (25, 'Englert', 'Nico', 'GB') 
<02:19:38.374>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (25, 'Englert', 'Nico', 'GB') 
<02:19:38.405>Received FJDBC: INSERT INTO PASSENGER10K VALUES (26, 'Ramazotti', 'Benedikt', 'ID') 
<02:19:38.405>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (26, 'Ramazotti', 'Benedikt', 'ID') 
<02:19:38.421>Received FJDBC: INSERT INTO PASSENGER10K VALUES (27, 'Meatloaf', 'Annika', 'I') 
<02:19:38.437>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (27, 'Meatloaf', 'Annika', 'I') 
<02:19:38.452>Received FJDBC: INSERT INTO PASSENGER10K VALUES (28, 'Helmke', 'Erdem', 'TUN') 
<02:19:38.468>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (28, 'Helmke', 'Erdem', 'TUN') 
<02:19:38.484>Received FJDBC: INSERT INTO PASSENGER10K VALUES (29, 'Scholz', 'Markus', 'D') 
<02:19:38.484>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (29, 'Scholz', 'Markus', 'D') 
<02:19:38.530>Received FJDBC: INSERT INTO PASSENGER10K VALUES (30, 'Mercury', 'Andre', 'USA') 
<02:19:38.530>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (30, 'Mercury', 'Andre', 'USA') 
<02:19:38.562>Received FJDBC: INSERT INTO PASSENGER10K VALUES (31, 'Schmitt', 'Sarah', 'ID') 
<02:19:38.562>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (31, 'Schmitt', 'Sarah', 'ID') 
<02:19:38.593>Received FJDBC: INSERT INTO PASSENGER10K VALUES (32, 'Maiwald', 'Sebastian', 'USA') 
<02:19:38.593>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (32, 'Maiwald', 'Sebastian', 'USA') 
<02:19:38.624>Received FJDBC: INSERT INTO PASSENGER10K VALUES (33, 'Bush', 'Bastian', 'F') 
<02:19:38.624>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (33, 'Bush', 'Bastian', 'F') 
<02:19:38.655>Received FJDBC: INSERT INTO PASSENGER10K VALUES (34, 'Gueclue', 'Stefan', 'CMR') 
<02:19:38.655>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (34, 'Gueclue', 'Stefan', 'CMR') 
<02:19:38.687>Received FJDBC: INSERT INTO PASSENGER10K VALUES (35, 'Bush', 'Sarah', 'D') 
<02:19:38.687>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (35, 'Bush', 'Sarah', 'D') 
<02:19:38.718>Received FJDBC: INSERT INTO PASSENGER10K VALUES (36, 'Scholz', 'Holger', 'GB') 
<02:19:38.718>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (36, 'Scholz', 'Holger', 'GB') 
<02:19:38.749>Received FJDBC: INSERT INTO PASSENGER10K VALUES (37, 'Hahn', 'Annie', 'ID') 
<02:19:38.749>Sending to oralv8a: INSERT INTO PASSENGER10K VALUES (37, 'Hahn', 'Annie', 'ID') 
